Domain id = 2
Class id = 6
User id = 7

<x>,<y>,<z>,<t>
-0.033358,0.011322,0.276678,33.000000
-0.033534,0.011567,0.276871,65.000000
-0.033681,0.011672,0.277080,95.000000
-0.033645,0.011568,0.277244,128.000000
-0.033460,0.011473,0.277374,164.000000
-0.033226,0.011744,0.277475,191.000000
-0.032160,0.013464,0.277555,240.000000
-0.030989,0.014753,0.277617,271.000000
-0.028980,0.017363,0.277660,303.000000
-0.026381,0.018224,0.277678,336.000000
-0.024151,0.020821,0.277675,367.000000
-0.021181,0.022134,0.277633,399.000000
-0.018256,0.022797,0.277529,431.000000
-0.014516,0.023963,0.277346,463.000000
-0.011856,0.027459,0.277073,495.000000
-0.008405,0.029606,0.276721,527.000000
-0.005186,0.034579,0.276363,558.000000
-0.002208,0.035565,0.275987,591.000000
0.000317,0.038232,0.275636,639.000000
0.002662,0.041216,0.275296,671.000000
0.004942,0.047104,0.274966,703.000000
0.007515,0.048889,0.274655,734.000000
0.008967,0.053138,0.274387,766.000000
0.010889,0.056927,0.274166,798.000000
0.012084,0.061205,0.273994,830.000000
0.012585,0.067904,0.273863,862.000000
0.013190,0.071350,0.273761,897.000000
0.013245,0.077092,0.273682,926.000000
0.013415,0.079067,0.273618,958.000000
0.013367,0.082019,0.273571,1006.000000
0.012760,0.084861,0.273545,1038.000000
0.011198,0.089495,0.273543,1070.000000
0.009487,0.090464,0.273564,1101.000000
0.004813,0.098125,0.273664,1134.000000
0.002889,0.098178,0.273966,1165.000000
0.000685,0.098172,0.274552,1198.000000
-0.001924,0.098128,0.275729,1229.000000
-0.005832,0.098078,0.277355,1261.000000
-0.010634,0.098263,0.279623,1293.000000
-0.014578,0.098262,0.281842,1326.000000
-0.017816,0.097039,0.283685,1358.000000
-0.020099,0.094583,0.285403,1405.000000
-0.022907,0.092677,0.287037,1438.000000
-0.025074,0.089475,0.288472,1470.000000
-0.026543,0.085518,0.289601,1502.000000
-0.028077,0.081720,0.290490,1534.000000
-0.029206,0.078046,0.291137,1565.000000
-0.029538,0.072970,0.291615,1597.000000
-0.029855,0.068916,0.291941,1629.000000
-0.029927,0.062585,0.292165,1661.000000
-0.029846,0.058504,0.292316,1694.000000
-0.029847,0.055336,0.292388,1725.000000
-0.029810,0.049488,0.292394,1757.000000
-0.029769,0.044119,0.292320,1807.000000
-0.029489,0.035951,0.291983,1839.000000
-0.029388,0.033375,0.291409,1871.000000
-0.029025,0.026861,0.290559,1902.000000
-0.028455,0.020083,0.289563,1935.000000
-0.028022,0.015665,0.288480,1967.000000
-0.027515,0.006858,0.287608,1998.000000
-0.027006,0.000843,0.286587,2030.000000
-0.026543,-0.001717,0.285693,2062.000000
-0.025375,-0.008158,0.284808,2094.000000
-0.024685,-0.013383,0.283746,2127.000000
-0.023741,-0.018584,0.282659,2159.000000
-0.022887,-0.023051,0.281596,2207.000000
-0.021900,-0.025543,0.280606,2239.000000
-0.021420,-0.028187,0.279692,2270.000000
-0.020921,-0.030981,0.278883,2302.000000
-0.020365,-0.036023,0.278219,2334.000000
-0.019731,-0.041537,0.277677,2366.000000
-0.019424,-0.043068,0.277210,2398.000000
-0.019117,-0.043496,0.276784,2432.000000
-0.019096,-0.048864,0.276389,2462.000000
-0.018765,-0.054040,0.276024,2494.000000
-0.018770,-0.055429,0.275653,2526.000000
-0.018795,-0.057235,0.275270,2557.000000
-0.018798,-0.060263,0.274901,2608.000000
-0.019085,-0.061334,0.274522,2640.000000
-0.019294,-0.062477,0.274141,2672.000000
-0.019349,-0.065709,0.273795,2705.000000
-0.019636,-0.066623,0.273454,2735.000000
-0.020119,-0.068501,0.273126,2767.000000
-0.020817,-0.069550,0.272820,2800.000000
-0.021124,-0.071205,0.272539,2830.000000
-0.021576,-0.072651,0.272245,2865.000000
-0.021909,-0.073883,0.271839,2896.000000
-0.022036,-0.076930,0.271449,2927.000000
-0.022268,-0.078619,0.270986,2975.000000
-0.022257,-0.081266,0.270515,3006.000000
-0.022251,-0.081912,0.269843,3037.000000
-0.022146,-0.081517,0.268735,3072.000000
-0.021512,-0.083831,0.267481,3102.000000
-0.020688,-0.088421,0.266268,3134.000000
-0.019609,-0.089623,0.264945,3165.000000
-0.016668,-0.090052,0.263139,3198.000000
-0.013748,-0.090547,0.261287,3229.000000
-0.010346,-0.090551,0.259384,3263.000000
-0.005527,-0.089105,0.257231,3293.000000
-0.001663,-0.088953,0.255438,3326.000000
0.002665,-0.086780,0.253706,3373.000000
0.008388,-0.087719,0.252453,3406.000000
0.013238,-0.087642,0.251390,3438.000000
0.017672,-0.087642,0.250464,3470.000000
