Domain id = 2
Class id = 8
User id = 9

<x>,<y>,<z>,<t>
0.030394,0.002299,0.190864,18.000000
0.031020,0.002192,0.191163,50.000000
0.032207,0.002190,0.191456,82.000000
0.033548,0.002506,0.191724,114.000000
0.036100,0.003421,0.191996,146.000000
0.039339,0.004569,0.192305,196.000000
0.042874,0.004789,0.192687,226.000000
0.047288,0.006624,0.193244,258.000000
0.054186,0.013906,0.193921,290.000000
0.058960,0.016007,0.194921,321.000000
0.064904,0.021066,0.196657,353.000000
0.069982,0.029113,0.199018,384.000000
0.074331,0.035710,0.201544,416.000000
0.077963,0.043372,0.204604,448.000000
0.081907,0.049945,0.208286,480.000000
0.084499,0.056491,0.211768,512.000000
0.085968,0.062295,0.215393,544.000000
0.086939,0.068445,0.219021,592.000000
0.087327,0.072580,0.222585,625.000000
0.086936,0.077980,0.226622,657.000000
0.086050,0.080455,0.230308,687.000000
0.083785,0.082599,0.233817,719.000000
0.080707,0.084867,0.236452,752.000000
0.077784,0.085244,0.238426,784.000000
0.074842,0.082108,0.240122,816.000000
0.072252,0.078408,0.241352,847.000000
0.069522,0.070740,0.242160,880.000000
0.066795,0.064827,0.242643,912.000000
0.064444,0.054486,0.242917,961.000000
0.062294,0.040807,0.242938,996.000000
0.060131,0.029309,0.242300,1025.000000
0.059288,0.021423,0.240130,1059.000000
0.056991,0.001769,0.236250,1090.000000
0.055631,-0.002413,0.231353,1124.000000
0.053975,-0.016901,0.226575,1154.000000
0.052371,-0.023833,0.221970,1188.000000
0.050062,-0.035173,0.217485,1218.000000
0.048735,-0.039236,0.212102,1252.000000
0.047369,-0.046547,0.207777,1282.000000
0.046555,-0.050043,0.204186,1316.000000
0.045837,-0.050068,0.200944,1362.000000
0.045253,-0.052227,0.198366,1393.000000
0.043459,-0.057169,0.196460,1428.000000
0.043614,-0.057305,0.194676,1458.000000
0.042644,-0.058821,0.193259,1491.000000
0.043035,-0.057590,0.191894,1522.000000
0.043144,-0.056901,0.190807,1554.000000
0.043227,-0.054965,0.190036,1588.000000
0.043650,-0.051095,0.189539,1618.000000
0.044842,-0.044477,0.189226,1649.000000
0.046939,-0.036142,0.189187,1681.000000
0.049342,-0.028843,0.189620,1714.000000
0.052712,-0.020115,0.191591,1763.000000
0.056717,-0.009725,0.194471,1795.000000
0.059499,-0.004756,0.197888,1826.000000
0.064737,0.006419,0.201229,1857.000000
0.068213,0.010702,0.204424,1890.000000
0.073371,0.019097,0.207450,1922.000000
0.077142,0.020679,0.210603,1953.000000
0.080288,0.022565,0.213397,1984.000000
0.084823,0.024475,0.215577,2017.000000
0.088469,0.024300,0.217502,2047.000000
0.092009,0.023322,0.219145,2082.000000
0.095772,0.019569,0.220436,2113.000000
0.099157,0.013065,0.221395,2161.000000
0.102956,0.003194,0.222111,2193.000000
0.106235,-0.004671,0.222613,2225.000000
0.109456,-0.013503,0.222944,2257.000000
0.111014,-0.023824,0.223164,2290.000000
0.112222,-0.033375,0.223286,2321.000000
0.113299,-0.037469,0.223280,2353.000000
0.113535,-0.042363,0.222914,2384.000000
0.113966,-0.044458,0.221643,2415.000000
0.114828,-0.046635,0.219425,2449.000000
0.115387,-0.049045,0.217065,2479.000000
