Domain id = 2
Class id = 2
User id = 3

<x>,<y>,<z>,<t>
-0.038360,0.080598,0.262808,0.000000
-0.038825,0.082010,0.264322,32.000000
-0.039468,0.083004,0.265539,63.000000
-0.039930,0.082977,0.266559,96.000000
-0.040216,0.082393,0.267337,128.000000
-0.040336,0.080074,0.267978,160.000000
-0.040336,0.076466,0.268458,191.000000
-0.040190,0.071518,0.268805,224.000000
-0.040096,0.067167,0.269047,255.000000
-0.039809,0.061937,0.269220,288.000000
-0.039337,0.053406,0.269337,336.000000
-0.038962,0.046515,0.269362,369.000000
-0.038501,0.035881,0.269279,402.000000
-0.037988,0.025722,0.268738,433.000000
-0.037659,0.013640,0.267357,466.000000
-0.037407,0.000278,0.264859,498.000000
-0.037441,-0.009051,0.261773,529.000000
-0.037558,-0.019054,0.258888,560.000000
-0.038121,-0.024276,0.255335,594.000000
-0.038881,-0.031509,0.252562,625.000000
-0.039694,-0.036065,0.249975,656.000000
-0.040379,-0.039691,0.247636,688.000000
-0.040549,-0.039540,0.244577,737.000000
-0.040940,-0.041400,0.242791,769.000000
-0.040973,-0.041309,0.241169,800.000000
-0.040848,-0.040541,0.239963,834.000000
-0.040648,-0.036843,0.239028,864.000000
-0.040343,-0.032192,0.238444,896.000000
-0.039945,-0.025561,0.238079,929.000000
-0.038472,-0.019839,0.237856,960.000000
-0.036581,-0.012669,0.237781,993.000000
-0.033413,-0.005619,0.237824,1024.000000
-0.029283,0.000735,0.238217,1057.000000
-0.023885,0.005478,0.239320,1088.000000
-0.019049,0.009280,0.240930,1136.000000
-0.012649,0.013198,0.242741,1168.000000
-0.006696,0.014101,0.244684,1200.000000
0.000072,0.015370,0.246438,1233.000000
0.006309,0.015379,0.248327,1266.000000
0.011770,0.014279,0.250281,1296.000000
0.016952,0.011263,0.252144,1330.000000
0.020906,0.006457,0.253842,1360.000000
0.023900,0.001358,0.255324,1395.000000
0.025965,-0.003363,0.256501,1424.000000
0.027314,-0.009523,0.257449,1458.000000
0.027528,-0.016673,0.258154,1505.000000
0.027539,-0.021347,0.258609,1540.000000
0.025897,-0.032419,0.258920,1568.000000
0.024503,-0.033744,0.259120,1602.000000
0.020554,-0.037985,0.259222,1632.000000
0.015511,-0.040522,0.259217,1667.000000
0.009611,-0.042846,0.258999,1696.000000
0.003099,-0.044369,0.258391,1731.000000
-0.002926,-0.044882,0.257336,1761.000000
-0.009204,-0.044950,0.255997,1796.000000
-0.015523,-0.044970,0.254601,1824.000000
-0.020803,-0.043399,0.252860,1857.000000
-0.026408,-0.042025,0.251220,1905.000000
-0.030233,-0.040304,0.249722,1937.000000
-0.033373,-0.038778,0.248425,1968.000000
-0.036191,-0.036425,0.247253,2001.000000
-0.037768,-0.035458,0.246279,2034.000000
-0.039044,-0.034028,0.245425,2064.000000
-0.040145,-0.032002,0.244590,2097.000000
-0.040427,-0.030428,0.243761,2128.000000
-0.040439,-0.029977,0.243008,2160.000000
-0.040099,-0.030115,0.242407,2192.000000
-0.039742,-0.030273,0.241908,2224.000000
