Domain id = 3
Class id = 1
User id = 3

<x>,<y>,<z>,<t>
-0.125649,-0.002284,0.338431,1.000000
-0.127165,-0.002678,0.338452,31.000000
-0.128311,-0.002692,0.338466,64.000000
-0.128498,-0.003306,0.338471,95.000000
-0.128402,-0.003466,0.338460,144.000000
-0.127140,-0.003487,0.338354,175.000000
-0.125113,-0.002907,0.338067,206.000000
-0.121371,-0.002447,0.337606,238.000000
-0.117579,-0.002039,0.336923,273.000000
-0.113650,-0.001698,0.336071,302.000000
-0.110473,-0.001212,0.335085,335.000000
-0.107779,-0.000947,0.334103,367.000000
-0.105468,-0.001051,0.333237,399.000000
-0.103582,-0.001175,0.332469,431.000000
-0.102057,-0.001118,0.331699,462.000000
-0.100928,-0.000473,0.331008,495.000000
-0.099753,0.000947,0.330447,543.000000
-0.098783,0.005100,0.329984,575.000000
-0.097278,0.010004,0.329616,607.000000
-0.094824,0.014730,0.329356,639.000000
-0.092297,0.023370,0.329167,671.000000
-0.088576,0.030221,0.329027,703.000000
-0.084873,0.038556,0.328924,735.000000
-0.081159,0.049051,0.328856,767.000000
-0.077563,0.057494,0.328841,799.000000
-0.074242,0.064321,0.328891,831.000000
-0.071008,0.070535,0.329195,865.000000
-0.068368,0.076221,0.329832,894.000000
-0.066053,0.079890,0.330764,944.000000
-0.063780,0.080328,0.331949,974.000000
-0.061524,0.079572,0.333297,1009.000000
-0.060509,0.079808,0.334411,1039.000000
-0.059610,0.079145,0.335266,1070.000000
-0.058456,0.073691,0.335894,1103.000000
-0.057425,0.066048,0.336314,1134.000000
-0.056313,0.059680,0.336592,1168.000000
-0.054868,0.048447,0.336746,1199.000000
-0.053032,0.038039,0.336753,1231.000000
-0.050805,0.024916,0.336535,1263.000000
-0.048134,0.013776,0.335472,1295.000000
-0.045305,0.003833,0.333242,1343.000000
-0.042257,-0.011743,0.330681,1377.000000
-0.038963,-0.020882,0.327661,1407.000000
-0.036794,-0.029642,0.324298,1440.000000
-0.034549,-0.037268,0.321242,1474.000000
-0.031908,-0.044963,0.318677,1505.000000
-0.030679,-0.050010,0.316689,1535.000000
-0.029119,-0.051661,0.314761,1567.000000
-0.027296,-0.053282,0.313101,1601.000000
-0.025650,-0.053905,0.311582,1634.000000
-0.023952,-0.053912,0.310230,1663.000000
-0.022613,-0.051036,0.308924,1697.000000
-0.021013,-0.044738,0.307754,1743.000000
-0.019407,-0.037446,0.306977,1777.000000
-0.017372,-0.026141,0.306367,1808.000000
-0.015542,-0.014280,0.305925,1839.000000
-0.012759,-0.007563,0.305634,1871.000000
-0.010658,0.005584,0.305430,1904.000000
-0.008539,0.010666,0.305338,1936.000000
-0.006901,0.023028,0.305317,1967.000000
-0.004875,0.029643,0.305390,1999.000000
-0.003151,0.038474,0.305721,2031.000000
-0.001756,0.044268,0.306465,2063.000000
-0.000635,0.049850,0.307568,2111.000000
0.000491,0.055313,0.308874,2143.000000
0.001361,0.058835,0.310298,2175.000000
0.002098,0.062658,0.311654,2207.000000
0.002404,0.065867,0.312933,2239.000000
0.002697,0.066690,0.314151,2271.000000
0.003338,0.066595,0.315249,2304.000000
0.004130,0.066088,0.316185,2336.000000
0.005081,0.061717,0.317051,2370.000000
0.006296,0.054754,0.317772,2399.000000
0.007853,0.046410,0.318315,2432.000000
0.009985,0.037371,0.318697,2464.000000
0.011877,0.027859,0.318953,2515.000000
0.014413,0.015781,0.319091,2544.000000
0.016766,0.002863,0.319101,2576.000000
0.019812,-0.008493,0.318847,2610.000000
0.023727,-0.021427,0.317739,2640.000000
0.026706,-0.030469,0.315712,2673.000000
0.029138,-0.040257,0.313350,2706.000000
0.031289,-0.051364,0.311406,2735.000000
0.034304,-0.057557,0.309512,2770.000000
0.036401,-0.060381,0.307633,2801.000000
0.038138,-0.063438,0.305911,2831.000000
0.039472,-0.065838,0.304379,2862.000000
0.040378,-0.068522,0.303175,2913.000000
0.040934,-0.071661,0.302249,2946.000000
0.041312,-0.071983,0.301295,2975.000000
0.041766,-0.072091,0.300343,3009.000000
0.042021,-0.068082,0.299043,3041.000000
0.042436,-0.066008,0.298000,3072.000000
0.043014,-0.059960,0.297091,3105.000000
0.043715,-0.053314,0.296423,3138.000000
0.044217,-0.046564,0.295961,3168.000000
0.044972,-0.041199,0.295653,3202.000000
0.046309,-0.030535,0.295438,3233.000000
0.047586,-0.024947,0.295295,3263.000000
0.048747,-0.015758,0.295200,3312.000000
0.050427,-0.009362,0.295175,3344.000000
0.051819,-0.006505,0.295251,3377.000000
0.053319,-0.001964,0.295544,3407.000000
0.054432,0.002530,0.296114,3441.000000
0.055484,0.004762,0.296888,3471.000000
0.056115,0.006399,0.297786,3503.000000
0.056990,0.009204,0.298618,3538.000000
0.058155,0.009810,0.299502,3569.000000
0.059227,0.009996,0.300419,3599.000000
0.062215,0.009713,0.301403,3633.000000
0.067295,0.009261,0.302292,3663.000000
0.073073,0.006839,0.303234,3711.000000
0.079449,0.005145,0.304121,3746.000000
0.084661,0.004246,0.304877,3775.000000
0.089329,0.003503,0.305581,3806.000000
0.092445,0.001767,0.306266,3841.000000
0.094691,0.001771,0.306843,3871.000000
0.096125,0.001584,0.307360,3903.000000
0.097090,0.001632,0.307774,3938.000000
0.097570,0.002015,0.308092,3967.000000
0.097961,0.002573,0.308333,3999.000000
0.097966,0.002311,0.308540,4034.000000
0.097607,0.002348,0.308715,4079.000000
0.096470,0.001946,0.308887,4111.000000
0.094957,0.001899,0.309072,4146.000000
0.093506,0.001907,0.309266,4177.000000
0.091933,0.001764,0.309475,4207.000000
0.090554,0.001037,0.309727,4241.000000
0.089492,-0.001263,0.310001,4271.000000
0.088799,-0.001383,0.310228,4303.000000
0.088379,-0.002375,0.310430,4338.000000
