Domain id = 3
Class id = 1
User id = 10

<x>,<y>,<z>,<t>
-0.083107,0.002199,0.452781,18.000000
-0.083774,0.001779,0.453221,51.000000
-0.084150,0.000510,0.453554,83.000000
-0.084762,0.000508,0.453860,114.000000
-0.085404,0.000411,0.454142,146.000000
-0.085873,-0.000410,0.454395,179.000000
-0.086277,-0.001657,0.454592,211.000000
-0.086596,-0.002285,0.454820,245.000000
-0.087163,-0.002299,0.455110,278.000000
-0.087246,-0.003215,0.455376,309.000000
-0.087319,-0.003402,0.455625,357.000000
-0.087324,-0.003614,0.455827,389.000000
-0.087185,-0.003553,0.455986,422.000000
-0.086875,-0.003546,0.456109,453.000000
-0.086288,-0.003164,0.456201,483.000000
-0.085121,-0.003152,0.456273,517.000000
-0.083793,-0.003022,0.456308,547.000000
-0.082752,-0.003022,0.456324,579.000000
-0.081531,-0.003170,0.456320,611.000000
-0.079537,-0.002845,0.456291,643.000000
-0.077094,-0.002845,0.456154,674.000000
-0.074743,-0.002851,0.455842,706.000000
-0.071702,-0.002815,0.455434,754.000000
-0.068991,-0.002805,0.454907,786.000000
-0.066140,-0.003070,0.454220,819.000000
-0.062508,-0.003012,0.453552,851.000000
-0.060399,-0.002901,0.452770,883.000000
-0.057997,-0.002901,0.451922,917.000000
-0.056075,-0.002884,0.450996,946.000000
-0.054447,-0.004062,0.449977,979.000000
-0.053272,-0.004008,0.448993,1011.000000
-0.052287,-0.003385,0.448258,1043.000000
-0.051620,-0.003400,0.447438,1074.000000
-0.051380,-0.002968,0.446765,1107.000000
-0.051120,-0.002853,0.446171,1155.000000
-0.051018,-0.002941,0.445482,1187.000000
-0.050940,-0.003556,0.444733,1219.000000
-0.050933,-0.002928,0.444201,1251.000000
-0.050834,-0.002411,0.443759,1283.000000
-0.050350,-0.001160,0.443354,1316.000000
-0.049150,-0.000235,0.442872,1348.000000
-0.047533,0.001335,0.442258,1379.000000
-0.046237,0.004982,0.441708,1411.000000
-0.045056,0.010667,0.441253,1443.000000
-0.043705,0.013054,0.440862,1474.000000
