Domain id = 3
Class id = 3
User id = 9

<x>,<y>,<z>,<t>
0.025589,0.048998,0.174657,19.000000
0.025801,0.048940,0.175415,51.000000
0.026144,0.048583,0.176086,82.000000
0.026345,0.048478,0.176656,115.000000
0.026542,0.048564,0.177124,163.000000
0.026442,0.048497,0.177547,195.000000
0.025664,0.048506,0.177946,227.000000
0.023462,0.048578,0.178354,259.000000
0.018744,0.049269,0.178808,290.000000
0.013724,0.049284,0.179340,322.000000
0.008179,0.048838,0.180084,354.000000
0.001357,0.048690,0.181071,387.000000
-0.004451,0.047639,0.182174,418.000000
-0.010900,0.045789,0.183379,450.000000
-0.017409,0.044412,0.184549,483.000000
-0.023042,0.041937,0.185746,514.000000
-0.027245,0.037899,0.186877,563.000000
-0.032741,0.035350,0.187850,594.000000
-0.034793,0.026362,0.188735,627.000000
-0.036211,0.017647,0.189452,659.000000
-0.037050,0.007090,0.189998,690.000000
-0.037718,-0.000701,0.190403,723.000000
-0.037761,-0.010791,0.190692,755.000000
-0.037631,-0.016663,0.190895,786.000000
-0.036371,-0.022656,0.191035,819.000000
-0.032973,-0.028292,0.191087,850.000000
-0.027076,-0.031961,0.191058,882.000000
-0.019088,-0.033351,0.190413,914.000000
-0.009211,-0.035927,0.188973,963.000000
0.000754,-0.039581,0.186529,996.000000
0.011642,-0.041723,0.184389,1025.000000
0.021188,-0.044284,0.182880,1058.000000
0.032015,-0.050169,0.181995,1089.000000
0.037588,-0.052758,0.181464,1123.000000
0.042876,-0.053143,0.181124,1154.000000
0.047154,-0.053320,0.180894,1187.000000
0.051693,-0.052316,0.180746,1218.000000
0.055543,-0.048398,0.180708,1250.000000
0.060003,-0.038863,0.180713,1282.000000
0.061580,-0.033632,0.180845,1315.000000
0.062356,-0.028242,0.181241,1364.000000
0.062427,-0.023438,0.182051,1395.000000
0.062322,-0.014407,0.182966,1428.000000
0.061027,-0.006710,0.183944,1460.000000
0.058744,-0.001018,0.185018,1491.000000
0.054929,0.005649,0.186019,1523.000000
0.050764,0.012670,0.187002,1555.000000
0.046399,0.018052,0.187944,1586.000000
0.042160,0.021517,0.188906,1618.000000
0.037597,0.024640,0.189864,1649.000000
0.033286,0.027116,0.190802,1683.000000
0.029134,0.030651,0.191617,1731.000000
0.025664,0.031937,0.192382,1762.000000
0.022971,0.033799,0.193070,1795.000000
