Domain id = 3
Class id = 5
User id = 1

<x>,<y>,<z>,<t>
0.090008,0.016536,0.333981,16.000000
0.089306,0.017556,0.334315,48.000000
0.088913,0.019096,0.334746,81.000000
0.088633,0.019660,0.335235,112.000000
0.088557,0.020336,0.335704,145.000000
0.088416,0.020374,0.336078,176.000000
0.087705,0.018942,0.336446,209.000000
0.087173,0.016957,0.336782,240.000000
0.086286,0.013904,0.337061,273.000000
0.084122,0.010270,0.337290,305.000000
0.082097,0.005483,0.337478,337.000000
0.078223,0.000315,0.337620,385.000000
0.074179,-0.004940,0.337728,417.000000
0.069548,-0.010185,0.337812,451.000000
0.065350,-0.015506,0.337882,482.000000
0.060386,-0.019677,0.337938,512.000000
0.054024,-0.025526,0.337982,546.000000
0.048200,-0.033382,0.338020,579.000000
0.043017,-0.037008,0.338044,609.000000
0.038771,-0.043844,0.338066,641.000000
0.034521,-0.047222,0.338079,674.000000
0.029343,-0.052082,0.338091,704.000000
0.025689,-0.053220,0.338098,736.000000
0.024267,-0.055360,0.338095,785.000000
0.023451,-0.058683,0.338069,816.000000
0.022277,-0.062659,0.338035,848.000000
0.021020,-0.064689,0.338004,881.000000
0.020206,-0.065944,0.337952,912.000000
0.019951,-0.067592,0.337903,944.000000
0.020128,-0.067818,0.337780,976.000000
0.022629,-0.068888,0.337621,1009.000000
0.029026,-0.068632,0.337422,1040.000000
0.036995,-0.067277,0.337073,1072.000000
0.045644,-0.067037,0.336717,1105.000000
0.055920,-0.065361,0.336228,1136.000000
0.067041,-0.063702,0.335708,1185.000000
0.078234,-0.061355,0.335110,1217.000000
0.086843,-0.060653,0.334618,1248.000000
0.098337,-0.060053,0.334217,1281.000000
0.106801,-0.060956,0.333927,1312.000000
0.116416,-0.062918,0.333722,1345.000000
0.126155,-0.065620,0.333573,1376.000000
0.135983,-0.067229,0.333462,1409.000000
0.146848,-0.066387,0.333373,1441.000000
0.152283,-0.068374,0.333327,1473.000000
0.160857,-0.067711,0.333312,1505.000000
0.166092,-0.066554,0.333309,1536.000000
0.167955,-0.067472,0.333474,1584.000000
0.169599,-0.067638,0.334025,1616.000000
0.170838,-0.067527,0.334795,1648.000000
0.170598,-0.067232,0.336089,1681.000000
0.169412,-0.065244,0.337327,1713.000000
0.166697,-0.062883,0.339083,1745.000000
0.162347,-0.059981,0.340879,1777.000000
0.158407,-0.057148,0.342824,1809.000000
0.154631,-0.051755,0.343960,1841.000000
0.149996,-0.049079,0.344667,1872.000000
0.145824,-0.045091,0.345281,1905.000000
0.140812,-0.038976,0.345697,1953.000000
0.136674,-0.032829,0.345982,1985.000000
0.132565,-0.026077,0.346194,2017.000000
0.127555,-0.021389,0.346380,2048.000000
0.122588,-0.018111,0.346551,2081.000000
0.118233,-0.012803,0.346734,2112.000000
0.113200,-0.006708,0.346901,2145.000000
0.107944,-0.003934,0.347091,2177.000000
0.103655,0.004297,0.347241,2209.000000
0.099128,0.008444,0.347365,2240.000000
0.094617,0.011298,0.347470,2273.000000
0.090561,0.015129,0.347566,2304.000000
0.086019,0.022082,0.347644,2353.000000
0.081408,0.024353,0.347714,2384.000000
0.076153,0.026778,0.347793,2416.000000
0.071565,0.030438,0.347875,2448.000000
0.066724,0.034228,0.347951,2480.000000
0.063581,0.038573,0.348013,2511.000000
0.060657,0.040273,0.348074,2543.000000
0.057544,0.044041,0.348131,2576.000000
0.055275,0.047588,0.348177,2608.000000
0.053671,0.050226,0.348216,2641.000000
0.053351,0.055057,0.348248,2672.000000
0.053421,0.059683,0.348274,2704.000000
0.054227,0.062144,0.348297,2753.000000
0.057220,0.064838,0.348316,2785.000000
0.061540,0.068321,0.348333,2816.000000
0.067442,0.069926,0.348343,2848.000000
0.074250,0.071962,0.348341,2881.000000
0.081339,0.073647,0.348300,2912.000000
0.088655,0.074363,0.348199,2943.000000
0.094506,0.074399,0.348043,2976.000000
0.100052,0.073781,0.347906,3008.000000
0.105528,0.072401,0.347630,3040.000000
0.110294,0.070315,0.347349,3072.000000
0.114467,0.067039,0.347103,3104.000000
0.118788,0.063343,0.346899,3152.000000
0.123263,0.059279,0.346735,3184.000000
0.126210,0.055212,0.346595,3216.000000
0.128110,0.049863,0.346424,3249.000000
0.129010,0.045576,0.346246,3281.000000
0.129064,0.039974,0.346081,3313.000000
0.128624,0.036232,0.345896,3344.000000
0.125831,0.030261,0.345752,3376.000000
0.122258,0.026713,0.345621,3408.000000
0.117729,0.021545,0.345469,3441.000000
0.114481,0.018347,0.345252,3473.000000
0.111080,0.014779,0.344832,3505.000000
0.107017,0.010489,0.344302,3553.000000
0.103372,0.008607,0.343515,3584.000000
0.101047,0.006991,0.342501,3616.000000
0.099530,0.006752,0.341169,3650.000000
0.097742,0.006150,0.339770,3682.000000
0.096363,0.005293,0.338401,3714.000000
0.095584,0.005054,0.337045,3746.000000
0.095271,0.005038,0.335682,3778.000000
0.095038,0.004885,0.334445,3809.000000
0.094875,0.004883,0.333403,3842.000000
0.094809,0.005017,0.332529,3875.000000
0.094850,0.005050,0.331773,3922.000000
